item_id,relative_path,caption,clothes_type
id_00000001,id_00000001/WOMEN_Blouses_Shirts_id_00000001_02_1_front.jpg,the white blouse is paired with black shorts,1
id_00000001,id_00000001/WOMEN_Blouses_Shirts_id_00000001_02_3_back.jpg,the back view of a woman wearing black shorts and a white blouse,1
id_00000007,id_00000007/WOMEN_Tees_Tanks_id_00000007_01_1_front.jpg,a woman wearing a tank top with the words snoop dogg on it,1
id_00000007,id_00000007/WOMEN_Tees_Tanks_id_00000007_01_3_back.jpg,the back view of a woman wearing a grey tank top,1
id_00000008,id_00000008/WOMEN_Dresses_id_00000008_02_3_back.jpg,the back view of a woman wearing a black top,3
id_00000011,id_00000011/WOMEN_Dresses_id_00000011_02_1_front.jpg,a woman in a floral print dress and boots,3
id_00000012,id_00000012/WOMEN_Tees_Tanks_id_00000012_02_1_front.jpg,a woman wearing a grey crop top and black pants,1
id_00000012,id_00000012/WOMEN_Tees_Tanks_id_00000012_02_2_side.jpg,a woman wearing a grey tank top and black pants,1
id_00000015,id_00000015/WOMEN_Blouses_Shirts_id_00000015_02_2_side.jpg,a woman in a yellow top and white pants,1
id_00000015,id_00000015/WOMEN_Blouses_Shirts_id_00000015_02_4_full.jpg,a woman in a yellow top and white skirt,1
id_00000016,id_00000016/MEN_Sweaters_id_00000016_01_1_front.jpg,a man in a blue and white paisley shirt,1
id_00000016,id_00000016/MEN_Sweaters_id_00000016_01_3_back.jpg,the back of a man wearing a shirt with a floral pattern,1
id_00000017,id_00000017/WOMEN_Tees_Tanks_id_00000017_01_1_front.jpg,"the women's sweater is made from a soft, lightweight knit",1
id_00000017,id_00000017/WOMEN_Tees_Tanks_id_00000017_01_2_side.jpg,"the long sleeve top is made from a soft, lightweight knit",1
id_00000017,id_00000017/WOMEN_Tees_Tanks_id_00000017_02_1_front.jpg,a woman in black shorts and a gray sweater,1
id_00000017,id_00000017/WOMEN_Tees_Tanks_id_00000017_02_3_back.jpg,the back view of a woman wearing a black and grey sweater,1
id_00000019,id_00000019/WOMEN_Graphic_Tees_id_00000019_01_1_front.jpg,a woman wearing a tank top that says i'm original,1
id_00000019,id_00000019/WOMEN_Graphic_Tees_id_00000019_01_4_full.jpg,a woman wearing a white tank top with the words i am original on it,1
id_00000021,id_00000021/WOMEN_Dresses_id_00000021_04_1_front.jpg,a woman in a long crochet dress,3
